#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.348   -26.646  0.000  0.281  0.000  0.709  0.000  0.000  0.000  0.000  0.000  0.990
   0.329   -26.646  0.000  0.290  0.000  0.700  0.000  0.000  0.000  0.000  0.000  0.990
   0.309   -26.646  0.000  0.293  0.000  0.697  0.000  0.000  0.000  0.000  0.000  0.990
   0.290   -26.646  0.000  0.288  0.000  0.702  0.000  0.000  0.000  0.000  0.000  0.990
   0.271   -26.646  0.000  0.283  0.000  0.707  0.000  0.000  0.000  0.000  0.000  0.990
   0.251   -26.646  0.000  0.282  0.000  0.707  0.000  0.000  0.000  0.000  0.000  0.990
   0.232   -26.646  0.000  0.280  0.000  0.709  0.000  0.000  0.000  0.000  0.000  0.990
   0.213   -26.646  0.000  0.283  0.000  0.706  0.000  0.000  0.000  0.000  0.000  0.990
   0.193   -26.646  0.000  0.291  0.000  0.699  0.000  0.000  0.000  0.000  0.000  0.990
   0.174   -26.646  0.000  0.292  0.000  0.698  0.000  0.000  0.000  0.000  0.000  0.990
   0.155   -26.646  0.000  0.288  0.000  0.702  0.000  0.000  0.000  0.000  0.000  0.990
   0.135   -26.646  0.000  0.285  0.000  0.704  0.000  0.000  0.000  0.000  0.000  0.990
   0.116   -26.646  0.000  0.280  0.000  0.710  0.000  0.000  0.000  0.000  0.000  0.990
   0.097   -26.646  0.000  0.269  0.000  0.721  0.000  0.000  0.000  0.000  0.000  0.990
   0.077   -26.646  0.000  0.269  0.000  0.721  0.000  0.000  0.000  0.000  0.000  0.990
   0.058   -26.646  0.000  0.262  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.990
   0.039   -26.646  0.000  0.255  0.000  0.734  0.000  0.000  0.000  0.000  0.000  0.990
   0.019   -26.646  0.000  0.262  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.990
   0.000   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
#Band-index    3
   0.000   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.019   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.039   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.058   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.077   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.097   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.116   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.135   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.155   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.174   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.193   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.213   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.232   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.251   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.271   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.290   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.309   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.329   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.348   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.367   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.367   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.379   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.390   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.401   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.412   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.423   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.434   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.446   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.457   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.468   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.479   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.490   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.501   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.513   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.524   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.535   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.546   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.557   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.568   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.579   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.579   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.602   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.624   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.646   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.669   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.691   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.713   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.736   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.758   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.780   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.803   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.825   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.847   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.870   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.892   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.914   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.937   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.959   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.981   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   1.004   -26.638  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
#Band-index    4
   1.004   -20.353  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.981   -20.352  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.959   -20.348  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.937   -20.341  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.914   -20.331  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.892   -20.319  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.870   -20.305  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.847   -20.287  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.825   -20.267  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.803   -20.244  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.780   -20.219  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.758   -20.191  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.736   -20.161  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.713   -20.128  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.691   -20.094  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.669   -20.057  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.646   -20.020  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.624   -19.985  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.602   -19.958  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.579   -19.949  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.579   -19.949  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.568   -19.951  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.557   -19.955  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.546   -19.961  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.535   -19.968  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.524   -19.976  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.513   -19.983  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.501   -19.990  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.490   -19.996  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.479   -20.003  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.468   -20.008  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.457   -20.013  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.446   -20.018  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.434   -20.022  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.423   -20.025  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.412   -20.028  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.401   -20.030  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.390   -20.032  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.379   -20.033  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.367   -20.033  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.367   -20.033  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.348   -20.045  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.329   -20.071  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.309   -20.100  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.290   -20.129  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.271   -20.157  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.251   -20.184  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.232   -20.209  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.213   -20.231  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.193   -20.252  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.174   -20.271  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.155   -20.288  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.135   -20.304  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.116   -20.317  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.097   -20.328  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.077   -20.337  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.058   -20.344  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.039   -20.349  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.019   -20.352  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.000   -20.353  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
#Band-index    5
   0.000   -18.986  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.019   -19.015  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.039   -19.070  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.058   -19.130  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.077   -19.193  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.097   -19.257  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.116   -19.319  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.135   -19.380  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.155   -19.440  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.174   -19.498  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.193   -19.555  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.213   -19.609  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.232   -19.662  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.251   -19.712  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.271   -19.760  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.290   -19.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.309   -19.849  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.329   -19.888  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.348   -19.920  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.367   -19.934  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.367   -19.934  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.379   -19.934  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.390   -19.933  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.401   -19.931  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.412   -19.929  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.423   -19.926  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.434   -19.922  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.446   -19.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.457   -19.913  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.468   -19.907  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.479   -19.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.490   -19.893  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.501   -19.885  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.513   -19.877  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.524   -19.868  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.535   -19.858  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
