#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.390   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.401   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.412   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.423   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.434   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.446   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.457   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.468   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.479   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.490   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.501   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.513   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.524   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.535   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.546   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.557   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.568   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.579   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.579   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.602   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.624   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.646   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.669   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.691   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.713   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.736   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.758   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.780   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.803   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.825   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.847   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.870   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.892   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.914   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.937   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.959   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.981   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   1.004   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
#Band-index    4
   1.004   -20.354  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.981   -20.353  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.959   -20.349  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.937   -20.342  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.914   -20.333  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.892   -20.320  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.870   -20.306  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.847   -20.288  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.825   -20.268  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.803   -20.245  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.780   -20.220  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.758   -20.192  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.736   -20.162  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.713   -20.130  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.691   -20.095  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.669   -20.059  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.646   -20.022  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.624   -19.987  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.602   -19.960  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.579   -19.951  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.579   -19.951  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.568   -19.952  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.557   -19.957  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.546   -19.963  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.535   -19.970  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.524   -19.977  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.513   -19.984  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.501   -19.991  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.490   -19.998  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.479   -20.004  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.468   -20.010  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.457   -20.015  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.446   -20.019  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.434   -20.023  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.423   -20.027  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.412   -20.030  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.401   -20.032  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.390   -20.033  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.379   -20.034  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.367   -20.035  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.367   -20.035  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.348   -20.047  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.329   -20.073  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.309   -20.102  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.290   -20.131  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.271   -20.159  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.251   -20.185  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.232   -20.210  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.213   -20.233  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.193   -20.254  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.174   -20.273  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.155   -20.290  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.135   -20.305  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
