#K-Path             Spin-Up       Spin-Down
#Band-index    1
  1.004      -18.9864      -18.9881
#Band-index    6
  1.004      -18.9102      -18.9114
  0.981      -18.9356      -18.9366
  0.959      -18.9954      -18.9962
  0.937      -19.0614      -19.0621
  0.914      -19.1268      -19.1276
  0.892      -19.1904      -19.1911
  0.870      -19.2517      -19.2524
  0.847      -19.3105      -19.3113
  0.825      -19.3669      -19.3676
  0.803      -19.4206      -19.4213
  0.780      -19.4717      -19.4724
  0.758      -19.5202      -19.5208
  0.736      -19.5660      -19.5667
  0.713      -19.6092      -19.6098
  0.691      -19.6496      -19.6503
  0.669      -19.6875      -19.6882
  0.646      -19.7226      -19.7233
  0.624      -19.7551      -19.7558
  0.602      -19.7848      -19.7855
  0.579      -19.8119      -19.8126
  0.579      -19.8119      -19.8126
  0.568      -19.7965      -19.7972
  0.557      -19.7770      -19.7778
  0.546      -19.7546      -19.7554
  0.535      -19.7301      -19.7309
  0.524      -19.7040      -19.7049
  0.513      -19.6766      -19.6775
  0.501      -19.6481      -19.6490
  0.490      -19.6186      -19.6195
  0.479      -19.5882      -19.5891
  0.468      -19.5570      -19.5579
  0.457      -19.5250      -19.5259
  0.446      -19.4922      -19.4931
  0.434      -19.4586      -19.4595
  0.423      -19.4244      -19.4253
  0.412      -19.3894      -19.3903
  0.401      -19.3537      -19.3547
  0.390      -19.3174      -19.3183
  0.379      -19.2805      -19.2814
  0.367      -19.2474      -19.2483
  0.367      -19.2474      -19.2483
  0.348      -19.2464      -19.2473
  0.329      -19.2433      -19.2442
  0.309      -19.2381      -19.2391
  0.290      -19.2309      -19.2318
  0.271      -19.2216      -19.2225
  0.251      -19.2102      -19.2112
  0.232      -19.1968      -19.1977
  0.213      -19.1812      -19.1822
  0.193      -19.1635      -19.1645
  0.174      -19.1437      -19.1446
  0.155      -19.1217      -19.1226
  0.135      -19.0975      -19.0983
  0.116      -19.0708      -19.0717
  0.097      -19.0420      -19.0429
  0.077      -19.0136      -19.0146
  0.058      -18.9839      -18.9849
  0.039      -18.9535      -18.9545
  0.019      -18.9250      -18.9262
  0.000      -18.9102      -18.9114
#Band-index    7
  0.000      -18.9102      -18.9114
  0.019      -18.9060      -18.9071
  0.039      -18.9374      -18.9382
  0.058      -18.9750      -18.9758
  0.077      -19.0099      -19.0107
  0.097      -19.0417      -19.0426
  0.116      -19.0685      -19.0695
  0.135      -19.0933      -19.0943
  0.155      -19.1162      -19.1171
  0.174      -19.1371      -19.1381
  0.193      -19.1561      -19.1570
  0.213      -19.1731      -19.1741
  0.232      -19.1881      -19.1891
  0.251      -19.2012      -19.2021
  0.271      -19.2122      -19.2131
  0.290      -19.2212      -19.2222
  0.309      -19.2283      -19.2292
  0.329      -19.2333      -19.2342
  0.348      -19.2363      -19.2372
  0.367      -19.2373      -19.2383
  0.367      -19.2373      -19.2383
  0.379      -19.2036      -19.2045
  0.390      -19.1646      -19.1656
  0.401      -19.1249      -19.1258
  0.412      -19.0845      -19.0854
  0.423      -19.0434      -19.0443
  0.434      -19.0016      -19.0026
  0.446      -18.9592      -18.9601
  0.457      -18.9161      -18.9171
  0.468      -18.8724      -18.8733
  0.479      -18.8280      -18.8289
  0.490      -18.7830      -18.7839
  0.501      -18.7373      -18.7383
