 25250 25.250000 -3.306640 96.504300 11.460700   -2.099350 93.822100 11.233400   
 25500 25.500000 -3.137000 96.155900 11.582800   -2.502270 93.525000 11.175800   
 25750 25.750000 -3.054690 96.017000 11.529100   -1.779520 93.374900 11.274200   
 26000 26.000000 -2.671270 95.849800 11.091500   -1.647080 93.228900 10.909700   
 26250 26.250000 -2.600370 95.897500 11.342900   -1.098680 93.654800 10.954600   
 26500 26.500000 -2.745330 96.280200 11.836600   -1.156750 94.044000 11.256700   
 26750 26.750000 -2.574060 96.290100 11.851400   -1.395970 93.883500 11.007900   
 27000 27.000000 -2.696310 96.108700 11.076200   -1.579950 93.532700 11.052500   
 27250 27.250000 -2.654190 96.084800 11.406200   -1.623450 93.525900 11.256000   
 27500 27.500000 -2.175160 96.063700 11.938300   -1.236000 93.691600 10.796600   
 27750 27.750000 -1.571980 96.271300 10.902700   -0.729503 93.445800 11.179400   
 28000 28.000000 -1.679630 95.801900 12.079600   -0.836855 93.439700 11.231500   
 28250 28.250000 -2.242880 96.036400 11.005900   -1.147310 93.213300 11.166000   
 28500 28.500000 -2.449850 95.675400 11.282300   -1.676530 92.932100 11.111300   
 28750 28.750000 -2.378780 95.431600 10.695200   -1.912620 92.330600 10.722600   
 29000 29.000000 -2.108230 95.338000 11.444100   -1.779490 92.391200 11.231600   
 29250 29.250000 -2.504060 95.126900 11.108300   -1.268380 92.137900 10.779100   
 29500 29.500000 -2.130360 94.509200 10.993000   -1.436230 91.921700 10.210300   
 29750 29.750000 -1.980830 94.447300 10.866100   -1.515830 92.032100 9.691790   
 30000 30.000000 -1.995090 94.821600 10.195700   -1.454510 91.871900 9.884450   
 30250 30.250000 -1.612430 94.931500 10.876700   -1.431150 91.754600 9.783160   
 30500 30.500000 -1.924560 94.680300 11.110900   -1.673580 92.041400 10.635800   
 30750 30.750000 -1.969510 95.223000 11.030200   -1.588800 92.403700 10.720400   
 31000 31.000000 -2.001850 95.463300 10.809900   -1.800250 92.711000 10.447400   
 31250 31.250000 -2.209850 95.347200 10.660700   -1.837240 92.556400 10.635300   
 31500 31.500000 -2.562490 95.078600 11.247800   -1.993060 92.236400 11.234400   
 31750 31.750000 -3.039870 95.393400 11.364600   -2.514610 92.594600 10.727700   
