700.0000 138.8942 	168.1859 	137.6052 	65.1946 	39.3251 				
705.0000 139.8093 	169.4018 	138.4290 	65.6506 	39.6794 				
710.0000 140.7508 	170.6257 	139.2645 	66.1475 	40.0399 				
715.0000 141.6408 	171.8771 	140.1380 	66.6586 	40.4036 				
720.0000 142.4878 	173.1564 	140.9935 	67.1642 	40.7689 				
725.0000 143.3241 	174.4511 	141.8663 	67.6737 	41.1538 				
730.0000 144.1167 	175.7952 	142.7565 	68.1779 	41.5378 				
735.0000 144.9294 	177.2003 	143.6530 	68.7226 	41.9064 				
740.0000 145.8038 	178.6129 	144.5350 	69.2995 	42.2868 				
745.0000 146.6818 	179.9980 	145.4553 	69.8892 	42.6834 				
750.0000 147.5297 	181.3606 	146.3486 	70.5019 	43.0847 				
755.0000 148.3441 	182.6900 	147.2936 	71.1137 	43.4817 				
760.0000 149.1898 	184.0298 	148.1558 	71.7060 	43.8727 				
765.0000 150.0331 	185.3906 	149.0471 	72.3122 	44.2654 				
770.0000 150.8937 	186.7967 	149.8875 	72.9301 	44.6351 				
775.0000 151.6861 	188.1507 	150.7320 	73.5166 	44.9999 				
780.0000 152.4461 	189.4085 	151.5851 	74.1111 	45.3642 				
785.0000 153.3294 	190.7085 	152.4285 	74.7296 	45.7081 				
790.0000 154.1357 	192.0001 	153.2467 	75.3138 	46.0382 				
795.0000 155.0221 	193.3281 	154.0186 	75.8647 	46.3751 				
800.0000 155.9093 	194.5406 	154.7573 	76.4182 	46.6983 				
805.0000 156.7879 	195.7025 	155.5491 	77.0181 	47.0215 				
810.0000 157.6242 	196.8978 	156.3576 	77.6385 	47.3408 				
815.0000 158.4697 	198.1838 	157.1270 	78.2246 	47.6583 				
820.0000 159.2031 	199.4463 	157.8884 	78.7858 	47.9715 				
825.0000 159.8261 	200.7347 	158.6348 	79.3791 	48.3045 				
830.0000 160.5375 	202.0625 	159.3950 	79.9616 	48.6673 				
835.0000 161.2721 	203.4203 	160.1499 	80.5350 	49.0110 				
840.0000 162.0053 	204.8145 	160.9267 	81.1279 	49.3656 				
845.0000 162.7415 	206.2084 	161.6762 	81.7572 	49.7272 				
850.0000 163.4184 	207.6109 	162.4291 	82.4217 	50.0826 				
855.0000 164.1237 	209.0091 	163.1919 	83.0641 	50.4501 				
860.0000 164.7760 	210.3784 	163.9750 	83.6780 	50.7904 				
865.0000 165.4244 	211.7579 	164.7107 	84.2697 	51.1360 				
870.0000 166.0526 	213.1569 	165.4246 	84.8286 	51.4688 				
875.0000 166.7406 	214.5248 	166.1903 	85.4248 	51.7832 				
880.0000 167.4613 	215.8867 	166.9775 	86.0458 	52.0991 				
885.0000 168.1195 	217.1960 	167.7756 	86.6366 	52.4170 				
890.0000 168.7972 	218.5286 	168.5299 	87.2319 	52.7343 				
895.0000 169.5340 	219.8345 	169.3042 	87.8826 	53.0763 				
900.0000 170.2587 	221.2033 	170.0805 	88.5194 	53.4030 				
905.0000 170.9489 	222.5304 	170.8200 	89.1152 	53.7231 				
910.0000 171.7121 	223.8213 	171.5995 	89.6647 	54.0244 				
915.0000 172.4907 	225.0920 	172.3398 	90.2694 	54.3056 				
920.0000 173.2589 	226.3305 	173.1000 	90.8947 	54.6135 				
925.0000 174.0290 	227.5546 	173.8433 	91.5367 	54.9106 				
930.0000 174.7908 	228.7642 	174.6354 	92.1773 	55.2268 				
935.0000 175.6029 	230.0088 	175.4435 	92.8168 	55.5429 				
940.0000 176.4422 	231.3089 	176.3358 	93.4284 	55.8267 				
945.0000 177.2599 	232.5953 	177.2713 	94.0115 	56.1114 				
950.0000 178.0896 	233.8946 	178.2212 	94.6442 	56.4022 				
955.0000 178.9891 	235.0920 	179.1524 	95.2920 	56.6982 				
960.0000 179.8255 	236.3164 	180.0960 	95.9127 	56.9829 				
965.0000 180.6818 	237.5979 	181.0189 	96.4995 	57.3089 				
970.0000 181.5557 	238.8110 	181.9309 	97.0540 	57.6122 				
975.0000 182.4510 	240.0408 	182.8149 	97.6142 	57.8953 				
980.0000 183.3162 	241.2516 	183.7403 	98.1961 	58.1321 				
985.0000 184.1642 	242.4197 	184.6558 	98.7912 	58.3764 				
990.0000 184.9591 	243.6190 	185.5649 	99.3987 	58.6426 				
995.0000 185.8244 	244.7781 	186.4747 	100.0061 	58.9155 				
1000.0000 186.7100 	246.0003 	187.3874 	100.6151 	59.1928 				
