      #Energy        TDOS-UP        TDOS-DOWN
       1.82225       2.38800      -4.44200
       1.94725       2.26100      -6.01900
       2.07225       2.35400      -4.85900
       2.19725       4.05900      -4.91600
       2.32125       5.43300      -7.41200
       2.44625       4.28600      -7.28300
       2.57125       4.12800      -3.93700
       2.69625       5.21600      -2.97400
       2.82125       6.17900      -4.96800
       2.94625       5.90400      -7.11800
       3.07125       6.34600      -6.81100
       3.19525       6.21800      -6.62700
       3.32025       6.91200      -7.65700
       3.44525       6.67500      -7.94000
       3.57025       6.97100      -7.25600
       3.69525       7.67700      -8.28000
       3.82025       7.65000      -8.93300
       3.94525       8.02600      -8.87600
       4.06925       8.74000      -8.71600
       4.19425       9.10500      -8.80600
       4.31925       9.07700     -10.25000
       4.44425       8.90900     -10.22000
       4.56925      10.15000      -9.32000
       4.69425      10.28000      -9.60600
       4.81925       9.44100     -10.57000
       4.94325       9.30300     -10.97000
       5.06825      10.51000     -10.22000
       5.19325      11.06000     -10.19000
       5.31825      10.81000     -10.75000
       5.44325      10.42000     -10.47000
       5.56825       9.38900     -10.42000
       5.69325      10.33000     -10.73000
       5.81825      10.95000     -11.31000
       5.94225      10.82000     -11.22000
       6.06725      10.72000     -11.54000
       6.19225      11.49000     -12.02000
       6.31725      12.05000     -12.27000
       6.44225      12.00000     -13.62000
       6.56725      13.51000     -14.38000
       6.69225      16.43000     -15.06000
       6.81625      15.78000     -11.98000
       6.94125      14.51000      -4.88200
       7.06625       9.37000      -0.73460
       7.19125       2.64800      -0.02477
       7.31625       0.30310      -0.00008
       7.44125       0.01528      -0.00000
       7.56625       0.00016      -0.00000
       7.69025       0.00000       0.00000
       7.81525       0.00000       0.00000
       7.94025       0.00000       0.00000
       8.06525       0.00000       0.00000
       8.19025       0.00000       0.00000
       8.31525       0.00000       0.00000
       8.44025       0.00000       0.00000
       8.56425       0.00000       0.00000
       8.68925       0.00000       0.00000
       8.81425       0.00000       0.00000
       8.93925       0.00000       0.00000
