5432
Atoms. Timestep: 0
CA 61.5999 8.48711 3.40025
CA 1.07033e-05 10.9121 3.40039
CA 0.69997 9.69955 3.39945
CA 2.09998 9.69954 3.39884
CA 2.79994 10.9119 3.40029
CA 4.19988 10.9119 3.40052
CA 4.89992 9.69946 3.40005
CA 6.29982 9.6996 3.40014
CA 6.99997 10.912 3.3995
CA 8.39985 10.9121 3.39901
CA 9.09993 9.69948 3.40075
CA 10.4998 9.69953 3.4018
CA 11.1999 10.9119 3.40142
CA 12.5999 10.912 3.40216
CA 13.2999 9.69956 3.40171
CA 14.6998 9.69966 3.40067
CA 15.4 10.912 3.40049
CA 16.7998 10.9121 3.39965
CA 17.4999 9.69972 3.39914
CA 18.8998 9.69966 3.3989
CA 19.5998 10.912 3.39913
CA 20.9999 10.9119 3.40038
CA 21.7 9.69956 3.4013
CA 23.0999 9.69969 3.40276
CA 23.8 10.912 3.40225
CA 25.1999 10.912 3.40119
CA 25.8999 9.69953 3.40127
CA 27.2999 9.69974 3.40017
CA 28.0002 10.9119 3.39916
CA 29.4 10.912 3.39969
CA 30.1001 9.6995 3.40037
CA 31.5001 9.69957 3.39835
CA 32.2001 10.912 3.39781
CA 33.6002 10.9121 3.39844
CA 34.3002 9.69954 3.39878
CA 35.7 9.69961 3.40091
CA 36.4001 10.9121 3.40154
CA 37.8001 10.912 3.40126
CA 38.5001 9.69944 3.40123
CA 39.9001 9.69961 3.39998
CA 40.6002 10.912 3.39938
CA 42 10.912 3.39912
CA 42.7 9.69953 3.39945
CA 44.0999 9.69941 3.39895
CA 44.7999 10.9119 3.39847
CA 46.2 10.9119 3.39846
CA 46.9 9.69943 3.39777
CA 48.3 9.69952 3.39874
CA 49 10.9119 3.40054
CA 50.4 10.912 3.40084
CA 51.1 9.69954 3.40058
CA 52.5001 9.69959 3.40101
CA 53.2001 10.912 3.40117
CA 54.6 10.912 3.40125
CA 55.3 9.69958 3.40049
CA 56.7 9.6996 3.39975
CA 57.4 10.9119 3.39979
CA 58.8 10.9122 3.39934
CA 59.5 9.69956 3.40023
CA 60.9001 9.69965 3.40078
CA 61.6 10.9121 3.40032
CA 63 13.3369 3.40027
CA 0.70005 12.1244 3.40035
CA 2.09993 12.1244 3.4004
CA 2.80003 13.3367 3.40001
CA 4.1999 13.3369 3.40086
CA 4.90001 12.1243 3.40096
CA 6.29996 12.1245 3.40045
CA 6.99988 13.3369 3.4014
CA 8.3999 13.3368 3.40071
CA 9.10001 12.1244 3.3994
CA 10.4998 12.1244 3.40034
CA 11.1999 13.3367 3.40058
CA 12.5999 13.3369 3.40137
CA 13.2998 12.1243 3.402
CA 14.6999 12.1244 3.40118
CA 15.4 13.3368 3.40002
CA 16.7999 13.3369 3.39845
CA 17.4998 12.1244 3.39909
CA 18.8998 12.1245 3.39946
CA 19.5999 13.3367 3.4
CA 20.9999 13.3369 3.40085
CA 21.7 12.1244 3.40075
CA 23.0999 12.1244 3.40128
CA 23.7999 13.3367 3.39999
CA 25.1999 13.3368 3.39945
CA 25.8999 12.1245 3.39969
CA 27.2999 12.1244 3.3988
CA 28 13.3369 3.39887
CA 29.4001 13.3369 3.39858
CA 30.1001 12.1244 3.39871
CA 31.5 12.1245 3.39864
CA 32.2002 13.3368 3.39909
CA 33.6002 13.3369 3.4006
CA 34.3002 12.1245 3.40067
CA 35.7001 12.1246 3.40205
CA 36.4002 13.3368 3.4024
CA 37.8001 13.3369 3.40103
CA 38.5001 12.1244 3.40023
CA 39.9001 12.1243 3.39937
CA 40.6001 13.3367 3.39964
CA 42.0001 13.3367 3.39941
CA 42.7 12.1242 3.39888
CA 44.0999 12.1244 3.39873
CA 44.8001 13.3367 3.39939
CA 46.2 13.3367 3.39983
CA 46.9 12.1243 3.39975
CA 48.3 12.1242 3.4007
CA 49 13.3366 3.40049
CA 50.4001 13.3368 3.40025
