      #Energy        TDOS-UP        TDOS-DOWN
       3.71107       7.86000      -7.19000
       3.83007       8.31200      -7.89500
       3.94907       9.55300      -7.61600
       4.06807       9.43400      -7.98300
       4.18707      10.31000      -8.80500
       4.30607      10.75000      -8.35100
       4.42507       9.61400      -8.85600
       4.54507       9.57400      -9.92900
       4.66407       9.90100     -10.82000
       4.78307      10.27000     -10.04000
       4.90207      10.70000      -9.94500
       5.02107      10.62000     -10.54000
       5.14007      10.45000     -10.57000
       5.25907      10.88000      -9.30900
       5.37807      10.91000      -9.93700
       5.49707      10.92000     -11.22000
       5.61607      11.52000     -10.70000
       5.73507      11.14000     -10.69000
       5.85507       8.67400     -10.98000
       5.97407       4.40000     -11.35000
       6.09307       0.86920     -11.18000
       6.21207       0.03673      -9.15900
       6.33107       0.00022      -5.32700
       6.45007       0.00000      -1.63900
       6.56907       0.00000      -0.13160
       6.68807       0.00000      -0.00143
       6.80707       0.00000      -0.00000
       6.92607       0.00000      -0.00000
       7.04507       0.00000      -0.00000
       7.16507       0.00000       0.00000
       7.28407       0.00000       0.00000
       7.40307       0.00000       0.00000
       7.52207       0.00000       0.00000
       7.64107       0.00000       0.00000
       7.76007       0.00000       0.00000
       7.87907       0.00000       0.00000
       7.99807       0.00000       0.00000
